	SimulationNumber	PercentReduction	PropCasesReduced	InitialInf	AdjustedInf	NumHCWs	NumPTs	TreatmentEffect	PropImpactedPTs	PropImpactedHCWs	PTPercentReduction
88	89	7.485709974747479	0.16540404040404041	792	732.713177	267	525	131	0.1980952380952381	0.10112359550561797	9.075193714285716
89	90	7.384958320361992	0.16289592760180996	884	818.716968448	342	542	144	0.17712177121771217	0.14035087719298245	8.082647887822873
90	91	11.032177345688893	0.23060796645702306	954	848.753028122128	373	581	220	0.22719449225473323	0.2359249329758713	11.093902732852321
91	92	11.626723504512297	0.24245939675174014	862	761.777643391104	299	563	209	0.2522202486678508	0.22408026755852842	11.985167414723982
92	93	11.698872711561993	0.24187725631768953	831	733.7823677669198	251	580	201	0.2620689655172414	0.1952191235059761	13.141869178117267
93	94	10.559400007664681	0.2311377245508982	835	746.8290099359999	283	552	193	0.22826086956521738	0.23674911660777384	10.43553461304348
94	95	9.323316517799748	0.1928665785997358	757	686.4224939602559	242	515	146	0.22135922330097088	0.1322314049586777	10.961212046552236
95	96	11.12776248641115	0.22067363530778164	861	765.189964992	257	604	190	0.25	0.1517509727626459	12.356775396026492
96	97	11.250298443113769	0.23832335329341317	835	741.060008	230	605	199	0.2611570247933884	0.1782608695652174	12.318292892561981
97	98	10.038420056859977	0.22606689734717417	867	779.966898107024	288	579	196	0.23661485319516407	0.2048611111111111	10.720453003968219
98	99	7.499820493594776	0.15947712418300652	765	707.626373224	238	527	122	0.16318785578747627	0.15126050420168066	7.762936390132818
99	100	11.044579804828462	0.241423125794155	787	700.079156936	205	582	190	0.2663230240549828	0.17073170731707318	12.358373035051546
100	101	6.199792866242035	0.13503184713375796	785	736.331626	275	510	106	0.1568627450980392	0.09454545454545454	7.190867058823522
101	102	7.008137492506459	0.14470284237726097	774	719.757015808	272	502	112	0.1892430278884462	0.0625	8.885665351394424
102	103	9.970004086783053	0.21321695760598502	802	722.0405672239999	282	520	171	0.23653846153846153	0.1702127659574468	10.931326687692302
103	104	8.96001425646437	0.19525065963060687	758	690.0830919360001	212	546	148	0.23443223443223443	0.09433962264150944	10.661949645421247
104	105	8.486752870433644	0.19316688567674112	761	696.415810656	224	537	147	0.2085661080074488	0.15625	9.266417236499072
105	106	8.677104795974829	0.1811320754716981	795	726.0170168720001	279	516	144	0.2189922480620155	0.1111111111111111	10.555606032558131
106	107	9.193577161257856	0.19245283018867926	795	721.911061568	268	527	153	0.1859582542694497	0.20522388059701493	8.562241323719165
107	108	11.537293712571401	0.2253052164261931	901	797.0489836497317	318	583	203	0.2521440823327616	0.1761006289308176	12.735944201418246
108	109	10.260147442891563	0.21807228915662652	830	744.840776224	290	540	181	0.22962962962962963	0.19655172413793104	10.318240328888887
109	110	8.589900779643767	0.1806615776081425	786	718.483379872	274	512	142	0.21484375	0.11678832116788321	9.961456067187502
110	111	9.441803667579908	0.1997716894977169	876	793.289799872	315	561	175	0.2281639928698752	0.1492063492063492	10.40433282139037
111	112	8.005502924477243	0.18327183271832717	813	747.915261224	262	551	149	0.20689655172413793	0.13358778625954199	9.045314478402908
112	113	11.075663743371406	0.21728395061728395	810	720.2871236786916	227	583	176	0.24013722126929674	0.15859030837004406	12.447453228354782
113	114	9.242955525104032	0.1914008321775312	721	654.3582906639999	214	507	138	0.21301775147928995	0.14018691588785046	9.971763818540435
114	115	9.362333025099083	0.19947159841479525	757	686.1271389999999	220	537	151	0.19553072625698323	0.20909090909090908	8.960728305400368
115	116	10.619548841206027	0.22613065326633167	796	711.468391224	227	569	180	0.2548330404217926	0.15418502202643172	11.878480452724082
116	117	11.99393684040404	0.2537878787878788	792	697.008020224	222	570	201	0.27017543859649124	0.21171171171171171	12.704032943157898
117	118	9.78086440629922	0.2099737532808399	762	687.469813224	197	565	160	0.22831858407079647	0.15736040609137056	10.577298898407083
118	119	8.567711816468837	0.18694362017804153	674	616.253622357	173	501	126	0.20758483033932135	0.12716763005780346	9.516554243912175
119	120	9.701002859694482	0.20681551116333724	851	768.444465664	250	601	176	0.23627287853577372	0.136	10.840904252911805
120	121	6.356778328611905	0.14305949008498584	706	661.121145	279	427	101	0.16627634660421545	0.10752688172043011	7.496674238875883
121	122	3.281818181818188	0.09090909090909091	33	31.916999999999998	5	28	3	0.10714285714285714	0.0	3.86785714285715
122	123	10.64888979397117	0.22018348623853212	763	681.748970872	268	495	168	0.2505050505050505	0.16417910447761194	12.097460631919194
123	124	8.384696095356029	0.19349845201238391	646	591.8348632240001	208	438	125	0.21689497716894976	0.14423076923076922	9.441187620091316
124	125	8.631210243902443	0.1886178861788618	615	561.918057	171	444	116	0.2072072072072072	0.14035087719298245	9.504949324324325
125	126	7.923892124105006	0.1718377088305489	838	771.597784	349	489	144	0.2085889570552147	0.12034383954154727	9.77673128834356
126	127	8.79664953942857	0.19714285714285715	700	638.423453224	222	478	138	0.23430962343096234	0.11711711711711711	10.484849116317994
127	128	10.04938619676946	0.2143906020558003	681	612.56368	255	426	146	0.215962441314554	0.21176470588235294	10.146056338028165
128	129	7.692770957095695	0.16831683168316833	606	559.3818080000001	217	389	102	0.20051413881748073	0.11059907834101383	9.012374293059123
129	130	7.30365315568023	0.1584852734922861	713	660.924953	292	421	113	0.21140142517814728	0.0821917808219178	9.937768883610453
130	131	9.258696882585276	0.1813031161473088	706	640.633600008948	271	435	128	0.22988505747126436	0.1033210332103321	12.119363676103927
131	132	11.317728558507172	0.2502937720329025	851	754.686129967104	313	538	213	0.25092936802973975	0.24920127795527156	11.618341641802239
132	133	11.656675848536205	0.23384253819036427	851	751.8016885289569	301	550	199	0.26545454545454544	0.1760797342192691	13.236181540189653
133	134	9.591116694610776	0.20209580838323354	668	603.93134048	231	437	135	0.19679633867276888	0.21212121212121213	9.420185775743697
134	135	8.490023159685025	0.1763779527559055	635	581.0883529360001	187	448	112	0.19642857142857142	0.12834224598930483	9.365998005357135
135	136	10.404037841881646	0.22458270106221548	659	590.437390622	203	456	148	0.22807017543859648	0.21674876847290642	10.878047258114036
136	137	11.267339813458543	0.2347417840375587	639	567.0016985919999	172	467	150	0.25267665952890794	0.18604651162790697	12.30540993747324
137	138	9.60944295138123	0.19751381215469613	724	654.4276330319999	250	474	143	0.24261603375527427	0.112	11.585055043037972
138	139	7.5529106571936	0.16341030195381884	563	520.477113	160	403	92	0.17866004962779156	0.125	7.820085111662535
139	140	10.005866035457059	0.2077562326869806	722	649.757647224	246	476	150	0.23529411764705882	0.15447154471544716	11.217549952941171
140	141	6.507488343450064	0.14526588845654995	771	720.827264872	258	513	112	0.16569200779727095	0.10465116279069768	7.545757334892794
141	142	6.508058541592922	0.14285714285714285	791	739.521256936	279	512	113	0.166015625	0.1003584229390681	7.52162950468751
142	143	8.07435756613758	0.1724867724867725	945	868.6973209999999	373	572	163	0.2062937062937063	0.12064343163538874	9.612373251748242
143	144	7.771042784197533	0.18024691358024691	810	747.054553448	282	528	146	0.21022727272727273	0.12411347517730496	9.132499010606063
144	145	9.724400229951696	0.19927536231884058	828	747.481966096	245	583	165	0.22469982847341338	0.13877551020408163	10.949967945111485
145	146	8.749985620915039	0.1934640522875817	765	698.06261	253	512	148	0.21484375	0.15019762845849802	9.703204296875
146	147	11.100568305617971	0.23096129837702872	801	712.084447872	227	574	185	0.2508710801393728	0.18061674008810572	12.127258558885016
147	148	10.541818727123022	0.20776255707762556	876	783.6536679504023	314	562	182	0.2099644128113879	0.20382165605095542	10.575868911331767
148	149	11.057648089606456	0.23107971745711403	991	881.418707432	375	616	229	0.25162337662337664	0.19733333333333333	11.978478988311688
149	150	7.824808189344765	0.16459977452085683	887	817.5939513605119	369	518	146	0.1969111969111969	0.11924119241192412	9.479061862498844
150	151	9.928780536409949	0.21081081081081082	925	833.158780038208	340	585	195	0.2376068376068376	0.16470588235294117	11.362425552289917
151	152	12.34138826155484	0.26091586794462196	939	823.114364224	324	615	245	0.25691056910569104	0.26851851851851855	12.11418597983738
